Abnormal Permissions,Label,Source,Package,API,Call stack,Library,Library Class
READ_PHONE_STATE,RND,google_play,com.meitu.makeup,requestPermissions,com.meitu.makeup.home.MakeupMainActivity.onStart,app,app
CAMERA,NR,google_play,com.microsoft.amp.apps.bingnews,getCameraInfo,org.chromium.materials.VideoCaptureFactory.getDeviceName,Chromium,Utility
CAMERA,NR,google_play,com.n51951dd8177.app,getCameraInfo,org.chromium.materials.VideoCaptureFactory.getDeviceName,Chromium,Utility
CAMERA,RNDNR,google_play,com.nb.filmhall,getCameraInfo,org.chromium.materials.VideoCaptureFactory.getDeviceName,Chromium,Utility
CAMERA,RNDNR,google_play,com.nb.filmhall,open,org.chromium.materials.VideoCaptureFactory.isZoomSupported,Chromium,Utility
READ_PHONE_STATE,RNDNR,google_play,com.nike.omega,,
READ_PHONE_STATE,RNDNR,google_play,com.originmood.hw,,
READ_PHONE_STATE,RNDNR,google_play,com.panda.planning.factory,getRunningAppProcesses,com.panda.planning.factory.MyApp.onCreate,app,app
ACCESS_FINE_LOCATION,RND,google_play,com.plantparentai.app,getLastKnownLocation,com.glority.android.picturexx.app.util.location.AppLocationManager$getLocation$1$1$tasks$2$1.invokeSuspend,,
CAMERA,NR,google_play,com.selfcare.diary.mood.tracker.moodpress,getCameraInfo,org.chromium.materials.VideoCaptureFactory.getDeviceName,Chromium,Utility
ACCESS_COARSE_LOCATION,NR,google_play,com.shopee.tw,getAllCellInfo,com.shopee.threadpool.b$a.run,,
READ_PHONE_NUMBERS,RNDNR,google_play,com.shopee.tw,getLine1Number,com.shopee.app.network.util.p$a.run,,
READ_PHONE_STATE,RNDNR,google_play,com.shopee.tw,getRunningAppProcesses,com.shopee.app.startup.InitialProvider.attachInfo,,
READ_SMS,RNDNR,google_play,com.shopee.tw,getLine1Number,com.shopee.app.network.util.p$a.run,,
READ_PHONE_STATE,NR,google_play,com.siren.singtoearn,getRunningAppProcesses,com.siren.singtoearn.App.onCreate,app,app
READ_PHONE_STATE,NR,google_play,com.tiancheng.books,getRunningAppProcesses,com.tiancheng.books.App.onCreate,app,app
READ_PHONE_STATE,RNDNR,google_play,com.ubercab.eats,getRunningAppProcesses,com.uber.libraries.foundation.healthlinesdk.reporters.firebase.UberFirebaseInitializer.c,,
ACCESS_COARSE_LOCATION,NR,google_play,com.xingin.xhs,getAllCellInfo,com.xingin.tiny.internal.d6$d.run,,
READ_PHONE_STATE,NR,google_play,com.xingin.xhs,getRunningAppProcesses,com.xingin.xhs.app.XhsApplication.onCreate,app,app
READ_PHONE_STATE,NR,google_play,com.xingin.xhs,getSubscriberId,,,
READ_EXTERNAL_STORAGE,RND,google_play,net.langhoangal.chuongchanhniem,requestPermissions,x8.f$a.onClick,,
CAMERA,NR,google_play,net.searchome.designer,getCameraInfo,org.chromium.materials.VideoCaptureFactory.getDeviceName,Chromium,Utility
CAMERA,RNDNR,google_play,sixpack.sixpackabs.absworkout,getCameraInfo,org.chromium.materials.VideoCaptureFactory.getDeviceName,Chromium,Utility
CAMERA,RNDNR,google_play,sixpack.sixpackabs.absworkout,open,org.chromium.materials.VideoCaptureFactory.isZoomSupported,Chromium,Utility
READ_PHONE_STATE,NR,huawei_appgallery,com.agoda.mobile.consumer,getRunningAppProcesses,com.google.firebase.perf.session.SessionManager$$ExternalSyntheticLambda0.run,Firebase Performance Monitoring SDK,Analytics
READ_PHONE_STATE,NR,huawei_appgallery,com.alibaba.wireless,getRunningAppProcesses,com.taobao.android.job.core.TaskSchedulerImpl$1.call,,
READ_PHONE_STATE,NR,huawei_appgallery,com.alibaba.wireless,getSubscriberId,com.taobao.monitor.adapter.network.TBRestSender$1.run,,
READ_PHONE_STATE,NR,huawei_appgallery,com.baidu.baijia,getRunningAppProcesses,com.baidu.baijia.splash.b.onClick,app,app
READ_PHONE_STATE,NR,huawei_appgallery,com.baidu.baijia,getSubscriberId,com.weibo.ssosdk.WeiboSsoSdk$5.run,Weibo SSO SDK,Utility
READ_PHONE_STATE,NR,huawei_appgallery,com.geekapp.record,getRunningAppProcesses,com.stub.StubApp.onCreate,,
READ_PHONE_STATE,NR,huawei_appgallery,com.hb.dialer.free,,
CAMERA,NR,huawei_appgallery,com.hsv.freeadblockerbrowser,getCameraInfo,org.chromium.materials.VideoCaptureFactory.getDeviceName,Chromium,Utility
CAMERA,NR,huawei_appgallery,com.hsv.freeadblockerbrowser,open,org.chromium.materials.VideoCaptureFactory.getDeviceSupportedFormats,Chromium,Utility
WRITE_EXTERNAL_STORAGE,RND,huawei_appgallery,com.hunantv.imgo.activity.inter,requestPermissions,com.mgtv.support.permission.PermissionRequestActivity.onCreate,,
CAMERA,NR,huawei_appgallery,com.hunantv.imgo.activity.inter,getCameraInfo,com.mgcapture.journeyapps.barcodescanner.camera.b$4.run,,
READ_PHONE_STATE,RND,huawei_appgallery,com.hunantv.imgo.activity.inter,requestPermissions,com.mgtv.support.permission.PermissionRequestActivity.onCreate,,
CAMERA,NR,huawei_appgallery,com.kinggames.couplelife.huawei,getCameraInfo,org.chromium.materials.VideoCaptureFactory.getDeviceName,Chromium,Utility
CAMERA,NR,huawei_appgallery,com.kinggames.couplelife.huawei,open,org.chromium.materials.VideoCaptureFactory.isZoomSupported,Chromium,Utility
ACCESS_COARSE_LOCATION,NR,huawei_appgallery,com.klook,getAllCellInfo,c.t.m.g.er$a.handleMessage,,
ACCESS_COARSE_LOCATION,NR,huawei_appgallery,com.klook,getCellLocation,c.t.m.g.er$a.handleMessage,,
ACCESS_LOCATION_EXTRA_COMMANDS,IND,huawei_appgallery,com.klook,sendExtraCommand,com.klook.location.internal.LocationManager$f$a.invokeSuspend,app,app
BLUETOOTH_ADMIN,IND,huawei_appgallery,com.klook,,
CHANGE_WIFI_STATE,IND,huawei_appgallery,com.klook,startScan,c.t.m.g.eu$1.run,,
READ_PHONE_STATE,RNDNR,huawei_appgallery,com.klook,getRunningAppProcesses,com.klook.shell.KlookShellApplication.onCreate,app,app
READ_PHONE_STATE,RNDNR,huawei_appgallery,com.klook,getSubscriberId,com.tencent.map.geolocation.a.a.e$a.handleMessage,TencentMapSDK,Utility
CAMERA,RNDNR,huawei_appgallery,com.nb.filmhall,getCameraInfo,org.chromium.materials.VideoCaptureFactory.getDeviceName,Chromium,Utility
CAMERA,RNDNR,huawei_appgallery,com.nb.filmhall,open,org.chromium.materials.VideoCaptureFactory.isZoomSupported,Chromium,Utility
